This will , if not already , caused problems as there are very limited spaces for us .|||7~8~Vform~cause	14~15~Nn~space
Other than that , companies are encouraged to employ older workers even after these workers have past their retirement age ( Channel NewsAsia , September 2009 ) .|||15~16~Vt~are
To further attract the interest of companies to do so , recognition such as the " AARP International Innovative Employer Awards " is given out to companies who showed innovation on how to include elderly in their companies ( AARP International , January 2008 ) .|||30~31~Prep~in	33~34~Vform~inclusion
Yet , despite such incentives being given out , many companies still chose to retrench those who fall under the older age group during the retrenchment period claiming that the elderly are less productive and effective .|||12~13~Vt~choose
While this may be true , it is possible to keep the elderly away from retrenching them as the elderly can take up upgrading course to improve their skills .|||15~16~Vform~retrenched	24~25~Nn~courses
In conclusion , although these researches and policies have yet to fully solve the problem of an aging population , they still provide alternatives for the aged and society to cope with the problem .|||5~6~Nn~research
Thus , it is up to the individuals themselves to determine whether they would want to oblige to the policies implemented and try out those new alternatives .|||13~14~Vt~
Aging population is becoming more and more serious problem , consuming a great amount of money from public programs .|||4~4~ArtOrDet~a
One solution is limiting the money spending on programs for the aged and diverting that money to other areas of country developments .|||6~7~Vt~spent	20~20~ArtOrDet~a	21~22~Nn~development
Some critics say implementing this solution might be implied that the government does not want to support the elderly ; however it is a practical solution for the current aging population problem .|||7~9~Vform~imply	26~27~Prep~to
Some people say this solution might cause financial difficulty to many elderly and their family , especially some delicate segments of the elderly population , such as those who have particularly low income like older single women , or those who attained little education ( Robert B. Friedland and Laura Summer , 2005 ) .|||41~41~Vt~have
For those who can support themselves , either by their own saving money or by support of family , should take the responsible to reduce the financial stress put on programs for the elderly .|||0~1~Prep~	11~12~Nn~savings	25~26~ArtOrDet~
In fact , there are more and more people who do not have to rely on the government help .|||16~17~ArtOrDet~
In Australia there is a means testing for age pensions , which is based on the income test and assets test to assess compensation payments ( http : //www.fahcsia.gov.au ) .|||4~5~ArtOrDet~	9~10~Nn~pension	15~16~ArtOrDet~
Starting from 1 January 2009 , Singapore has run a mean testing system in its public hospital : a certain group of citizen with certain range of income will have different subsidy scheme .|||10~11~Nn~means	16~17~Nn~hospitals	22~23~Nn~citizens	24~24~Nn~a	30~30~ArtOrDet~a
For example , citizens who have average income lower than 3200 $ per month will have their hospital fee subsidized by 80 % while those who earn more than 5200 $ monthly will only have their hospital fee subsidized by 50 % ( source : http : //www.hospitals.sg ) .|||18~19~Nn~fees	37~38~Nn~fees
As the economic develops , the country will generate more money and thus be able to spend a greater amount of money on programs such as health care support for elderly .|||30~30~ArtOrDet~the
In conclusion , country which faces the aging population problem should consider limiting public money spend on the aged and instead using that money on country developments .|||3~3~ArtOrDet~a	6~7~ArtOrDet~an	15~16~Vform~spent	21~22~Vform~use	24~25~Prep~for	26~27~Nn~development
That cut-off money can be considered as an investment on the country economic .|||9~10~Prep~for
Besides , a country could also run supporting programs to make the policy run more effectively , such as promoting children 's willingness to support the elderly parents and implementing means testing programs .|||7~8~Vform~support
IT , on the other hand , will never grow impatient on the old .|||11~12~Prep~with
Some people may argue that although IT would not grow impatient on the old , the old may , in contrast , grow impatient on IT .|||11~12~Prep~with	24~25~Prep~with
Many problems usually start to arise when one reached their old age .|||9~10~Nn~
( Peter G. Peterson , 2001 ) Also , the effects of having little education , not being able to save during one 's economically active years as well as deteriorating health continue into old age suggest that government should not limit public spending on elderly ( Robert B. Friedland and Laura Summer , 2005 ) Although , there are many benefits for money to be diverted to other areas of the country 's development , such as , education and generating a more productive workforce , public spending on the aged should not be limited to allow elderly people to age with dignity .|||64~66~Vform~is	71~72~ArtOrDet~a	82~82~Prep~of
The government could offer scholarships or offer subsidize school fees based on their income level in order to help to generate more higher educated people so that the effects of having little education and not being able to save during one 's economically active years could be minimized .|||7~8~Vform~subsidized
Although there are benefits , it will result in a large number of people having high qualification and it will end up becoming something that is common among everybody .|||16~17~Nn~qualifications
Therefore , diverting money to education would not help to minimized the effect of having little education and not being able to save during one 's economically active years .|||10~11~Vform~minimize
Secondly , public spending on the aged can be diverted to increase salary and bonus for those people that are more hardworking and productive so that it will help to generate a more productive workforce .|||12~13~Nn~salaries	15~16~Prep~of	16~17~ArtOrDet~
On the other hand , with the increase salary and bonus for those people that are more hardworking and productive , it will result in everybody fighting for the increase salary and bonus and therefore , one will become enemy of the other person .|||6~7~ArtOrDet~an	11~12~Prep~of	12~13~ArtOrDet~	29~30~Nn~increases	39~39~Nn~an
In conclusion , public spending should not be diverted to other areas such as , education and generating a more productive workforce .|||18~18~Prep~of
Moreover , when the government provide support for medical and social spending , it will allow elderly to have enough money to spend for their other leisure activities .|||16~16~ArtOrDet~the
Therefore , public spending on the aged should not be limited in order to allow elderly to aged with dignity .|||15~15~ArtOrDet~the
Yes , I agree that public spending on the aged should be limited so that money can be used for other developments .|||21~22~Nn~areas of development
There are several reasons on why public spending should be limited .|||4~5~Prep~
One reason is that the government can still provide benefits to elderly by developing areas that will benefit all age groups .|||11~11~ArtOrDet~the
By limiting public spending on the aged , the government can focus on other developments such as economy .|||14~15~Nn~areas of development	17~17~ArtOrDet~the
This will encourage working adults to take responsibility to look after their elderly parents and thus , promoting filial obligation .|||8~10~Vform~looking
Therefore , the government should used public funds to improve transportation .|||5~6~Vform~use
There are other reasons on why public spending on the aged should be limited .|||4~5~Prep~
One reason is the rising cost of caring for aged .|||9~9~ArtOrDet~the
This is because the numbers of people aged 60 and above are expected to be triple by year 2050 .|||4~5~Nn~number
Also , with the rising cost of living , amount of funds needed to care for the elderly will rise tremendously .|||9~9~ArtOrDet~the
This will mean a higher tax is required .|||3~4~ArtOrDet~
As a result , there is a need to balance the public spending .|||10~11~ArtOrDet~
In conclusion , public spending should be limited so that funds could be used in other developments .|||16~17~Nn~areas of development
I disagree to this statement .|||2~3~Prep~with
The scope of this essay will be focused on the area of public spending in healthcare of the elderly .|||5~8~Vt~focuses
The country could consider adjusting the budget into improving the economy .|||7~8~Prep~to	8~9~Vform~improve
However , as the economy grows , wages increases and cost of life increases , it would be inevitable that prices of products , medication , and services , hospitalization bills , would also be on the rise .|||8~9~Nn~increase	10~10~ArtOrDet~the
As the subsidy is reduced , the family will have to pay more .|||1~2~ArtOrDet~
Therefore , the effect of the positive increased wages could be well offset or even insufficient to keep up with the cost of living for the middle and lower income groups .|||7~8~ArtOrDet~an increase
Do you consider a country with high GDP , tall and flashy buildings , together with an increasing number of its citizen living condition regressing into living in slum condition a country with good economy ?|||21~22~Nn~citizens	29~30~Nn~conditions
Policy-makers claim for children to take responsibilities of their elderly parents ' medical expenses is a form of filial piety , in order to reduce its public spending on the aged .|||6~7~Nn~responsibility	7~8~Prep~for
For example the existence of schemes such as Do-Not-Resuscitate ( DNR ) and Euthanasia , though only in certain countries , could tells a different story as these voluntary schemes may possibly not be so voluntary after all , as children could stress their parents to die earlier in excuse to relieve their pains so as to lighten their financial burden .|||22~23~Vform~tell	53~54~Nn~pain
Taken from a scene from the movie " Money No Enough 2 " , directed by Jack Neo , was a scene in the hospital where the mother 's three children were burning a talisman to hope for their mother 's death during the economic downturn .|||19~20~Vt~shows	26~27~ArtOrDet~a	31~33~Vt~burn	35~37~Vform~hoping
In addition , according to { http : //www.euthanasia.com/deaths2003.html } [ HYPERLINK : http : //www.euthanasia.com/deaths2003.html ] , there were an increased in number of people in Oregon died on euthanasia , of which 37 % of the patients had indicated of being concerned on the financial burden on their family , { http : //www.euthanasia.com/reasons2003.html } [ HYPERLINK : http : //www.euthanasia.com/reasons2003.html ] .|||23~23~ArtOrDet~the	29~30~Prep~through	41~42~Prep~	44~45~Prep~about	48~49~Prep~of	50~51~Nn~families
Although these statistics were not specifically targeted on the aged , it indicated that being a financial burden played a part in their decision to terminate their life earlier , be it instigated or not .|||3~4~Vform~did	6~7~Vform~target	7~8~Prep~	12~13~Vt~indicate	27~28~Nn~lives
The money could also be invested into many other areas of the country 's development for further growths or better benefits to the country , rather than wasting on healthcare benefits for the elderly .|||0~1~ArtOrDet~	6~7~Prep~in	17~18~Nn~growth	27~28~Vform~waste
On the other hand , it is these aged population that had brought the country to what it is right now with their sweat and blood .|||7~8~ArtOrDet~the
Their ailments and conditions could be resulted from their work , be it directly or indirectly caused , while contributing to the nation progress , thus it should not be ignored .|||5~6~Vform~have
As this move will reflect badly on how the country regards its citizen , it may even discourage its citizen from performing their best , or even migrate and work in other country , as they are aware that state will not take care of them in their later life .|||12~13~Nn~citizens	19~20~Nn~citizens	32~33~Nn~countries	39~39~ArtOrDet~the
To sum up , without a doubt diverting public spending from supporting the aged population to the other development in the country may at first seem to be the best option , but eventually , it could in turn result in more harm than good , be it by upsetting the balance of wealth in the country , educating of wrong moral value and conveying the wrong message to its citizen workforce .|||18~18~Nn~areas of	62~63~Nn~values	70~71~Nn~citizens
With the development of society , governments and policy makers pay more attention to the phenomenon of aging populations , especially in developed countries .|||4~5~Nn~societies
However , although the spending on the aged is high , it should not be limited .|||3~4~ArtOrDet~
For instance , government should cut down the spending on aged , and use more money to attract talented immigrants .|||10~10~ArtOrDet~the
However , the result what we will do that is that many immigrants who have different cultural backgrounds will pour into the country .|||9~10~Vt~may be
One country with the great influx of immigrants will become unstable , since cultures are different and cultural fusion need a long period of time .|||3~4~ArtOrDet~a	8~9~Vt~may
Hence , it is not necessary to limit the public spending on the aged for attracting talented immigrants .|||8~9~ArtOrDet~	14~15~Prep~to	15~16~Vform~attract
On one hand , limiting the public spending on the aged does not mean that we can spend less money on the aged .|||5~6~ArtOrDet~
At the same time , cutting down public spending on aged will shift the financial pressure to the families with old people .|||10~11~ArtOrDet~	16~17~Prep~on	17~18~ArtOrDet~
Therefore , we should not limit the public spending on the aged .|||6~7~ArtOrDet~
On the other hand , it should promote a sense of humanity and come up with more ways to help the vulnerable group and it is the duty of government that pays more attention to the vulnerable group in the society .|||22~23~Nn~groups	31~32~Vform~pay	37~38~Nn~groups	39~40~Nn~
The aged belongs to the vulnerable group , as the productivity of the elderly is relatively low , but their medical expenses and social costs are higher than other age groups .|||6~7~Nn~
Thus , public support on the finance for the aged is extremely important .|||7~8~Prep~
In contrast , some may say that it is obligation for children to show filial obedience to the older generation , so young family members need to take care of the older generation and government can bear less responsibility for older people .|||9~10~ArtOrDet~	10~11~Prep~of
Due to this , the public spending on the aged should be limited .|||4~5~ArtOrDet~
If we just cut down the public spending on the aged and divert the money to other areas of the country 's development , this is contrary to the purpose of the government .|||5~6~ArtOrDet~
In consequence of the same aims , diverting the money to other areas of the country 's development is an extra and needless job .|||8~9~ArtOrDet~
The aged are advised to solve their problems as possible as they can and put the public support as their second choice .|||15~16~ArtOrDet~
" Although we are moving towards a a fast aging population , public spending should be limited and diverted to area like monetary reward to encourage parents to have more babies .|||20~21~Nn~areas
Besides , if we were to slow down the country 's development , this might hinder our economic growth which in turn , will affect the public spending on the aged indirectly .|||25~26~ArtOrDet~
Therefore , if public spending on the aged were to be limited , less budgets would be set aside for the elderly , which would affect them as healthcare is very important to them as they will face many health issues .|||14~15~Nn~budget
With the limitation of public spending on the aged , the elderly might not receive essential healthcare due to insufficient funding , which may leads to undesired outcome .|||24~25~Vform~lead	27~28~Nn~
If public spending on the aged were to be limited and diverted to funds to encourage couples to have more babies , many people will plan to have more babies since their worries of not having enough money to bring up or to support so many babies have been partially subsidies by the fund .|||47~47~Vt~might	50~51~Vform~subsidized
Another reason to limit public spending on the aged is that the children of the elderly should pay for their parent 's healthcare expenses .|||3~4~Vform~limiting
If the funding for the aged are limited , this will result in children bearing the responsibilities to look after their own parents .|||1~2~ArtOrDet~
As people can no longer depend on the society to look after their parents , they will have to take up the responsibilities of looking after their own parents .|||7~8~ArtOrDet~
Although funding of healthcare services for the elderly is essential , it should be limited and diverted to other areas , especially baby bonus .|||2~3~Prep~for
With more babies born , it would mean more people to look after their parents in the future , which would in turn cut down funds needed for the elderly .|||10~12~Vform~looking
Firstly , the elderly can provide for the society by imparting values to the younger generation .|||7~8~ArtOrDet~
With the amount of life experiences , they will know the consequences of implementing different kinds of solution .|||17~18~Nn~solutions
Despite of his old age , he still contributes to the society by making major decisions for the country .|||1~2~Prep~	10~11~ArtOrDet~
In addition to the above mentioned factors , the elderly has already contributed many years of their youth to the society .|||19~20~ArtOrDet~
If not for them , Singapore will never become a developed country .|||8~8~Vform~have
The elderly can contribute to the society by using their life experiences to make important decision for the country .|||15~16~Nn~decisions
In due time , Singapore will become the safest county that can make the best decision .|||15~16~Nn~decisions
Until recently , there is always much concern about the consequences of over spending on the welfare of the aging population .|||4~5~Vt~was
If the government does not invest enough on these areas , the country will lose its competitiveness , productive capacity in the economy and decrease in public services which will greatly harm the economy .|||7~8~Prep~in
Japan is a country with little natural resources and yet with a very highly educated population , which resulted them in being one of the most foremost and advanced country in the world .|||29~30~Nn~countries
Furthermore , foreign investors will not set up factories in countries that are equipped with poorly educated workforce .|||15~15~ArtOrDet~a
Singapore is a country who is constantly being the target of the terrorist .|||11~12~ArtOrDet~	12~13~Nn~terrorists
For example , New York City was once a major financial center in the world , but after since the September 11th incident , majority of the investors left New York seeking safer alternatives .|||24~24~ArtOrDet~the
Therefore , defense is one of the most important areas which safeguards interest of a country and the allocation of budget on this area should never be overlooked .|||12~12~ArtOrDet~the	12~13~Nn~interests	21~22~Prep~to
Critics often said that the senior citizens were the country 's pioneer and they had been through the process of nation building and it is our responsibility to ensure that the welfare of the aged should never be overlooked .|||11~12~Nn~pioneers
For the financially strapped elderly , they will receive the necessary subsidies for medical cost , transportation cost from the government .|||0~1~Prep~	17~18~Nn~costs
Therefore , for those who are financially capable will have to rely only on their retirement savings .|||2~3~Prep~
With this ever changing and competitive society , Singapore needs to make the necessary investments on other areas to ensure that it remains its foothold in the global economy .|||0~1~Prep~In	15~16~Prep~in
Thus in the next few paragraphs , I will explain in depth on the various research and government policies being developed has help to ease the aging process .|||12~13~Prep~
An example of the previous sentence is a research done by Pusan National University in Korea stating that eating kimchi could reduce the risk of heart disease and slows the aging process by reducing the amount of oxygen the body burns ( Hankook Ilbo , 2000 ) .|||7~8~ArtOrDet~
This is because of red wine contains a substance known as " resveratol " .|||3~4~Prep~
Thus , one can see how extensive these research are being carried out to ease the aging process of mankind .|||7~8~Nn~this
As a Singaporean , we all know of a term called " CPF " .|||8~9~ArtOrDet~the
At the end of April 2007 , 411 companies have already adopted the scheme .|||9~10~Vt~had
Controversially , citizens have argued that these policies do not help them in the aging process because it has taken a toll in their gross salary after having money deducted to their " CPF " contributions which makes monthly living allowances even lesser for them .|||22~23~Prep~on
An example is the raise of the " Minimum Sum " scheme .|||4~5~Vform~rise	5~6~Prep~in
This has been proven to be untrue as majority of Singaporeans supports the " CPF " schemes which encourages safer retirement and there are many citizen who even went to sign up more policies from the government on their own accord .|||8~8~ArtOrDet~the	32~32~Prep~for
Finally to conclude , due to the fact of a globally aging population , various research and development carried out to slow down the aging process and the policies implemented by the government for late retirement .|||18~18~Vform~have been
With the sharp decline of birth rates that we are facing now , majority of Singaporeans will be faced with harder task- in taking care of elderly family members .|||13~13~ArtOrDet~the	20~20~ArtOrDet~a	22~23~Prep~
" There are three areas that we will discuss that are contributions that elderly have made the different needs and problems of the aged and the responsibility within the children .|||27~28~Prep~of
Despite the challenges surrounding the ageing society , it is still depicted as the best part of our lives - 'the golden years' .|||4~5~ArtOrDet~an
Alike with many countries around the world , the Singapore government has implemented the Central Provident Fund ( CPF ) whereby a fixed percentage of its citizens ' salaries is set aside to the fund .|||1~2~Prep~
As a solution , government also invests a considerable amount of resources in health promotion and disease prevention .|||4~4~ArtOrDet~the
Earlier , those who have reached a ripe old age held an enviable place in society , but now they are only seen as senile , frail and useless old people .|||4~5~Vt~had
This will not only make them feel worthy , the continued employment also enhances their financial security .|||13~14~Vform~enhance
To deal with the limitation of public spending for the aged , a budget amount should be set aside to allow enough funds to be used for building and developing infrastructures , creating employment opportunities and improving standard of living to benefit the nation , as well as to increase its economy and its GDP .|||30~31~Nn~infrastructure	37~37~ArtOrDet~the
Firstly , by having more funds , Singapore can build and develop new infrastructures .|||13~14~Nn~infrastructure
Public transportation systems including light rail system , mass rapid transit system , as well as the current new railway network , Circle line , are well advanced to make the public accessible to any locations in Singapore .|||35~36~Nn~location
Currently , the government has set aside an amount to build integrated resorts , the casino , and tourism attractions to attract tourists to come to Singapore .|||15~16~Nn~casinos
Having hotels , shopping centers , transportations or other amenities would generate improve economy .|||6~7~Nn~transportation	13~13~ArtOrDet~the
Employment opportunities would then be created to the local people such as hotel attendants , tour guides are needed .|||6~7~Prep~for
Lastly , the government can use funds to improve standard of living for the citizens such as to build more schools to provide better education , have advanced healthcare technology so that citizens can enjoy the excellent healthcare services , etc. With such rising affluences , people would expect a better quality of life .|||9~9~ArtOrDet~the	18~19~Vform~building	44~45~Nn~affluence
Another point is that the elderly in their younger age may have contributed for the society and the economy .|||13~14~Prep~to
However , since the elderly in their younger age may have contributed for the society and the economy , we should spend a certain amount of money for their needs if they have problems dealing with money issues .|||12~13~Prep~to
But , the amount must be balanced and have to take into consideration for other needs such as improving and developing infrastructures , creating employment opportunities and the rising standard of living of the nation .|||13~14~Prep~	21~23~Nn~
Over spending may result in a shortage of resources in the development of the nation while under spending may imply a negligence of government towards the aged .|||20~21~ArtOrDet~
We will discuss on the differences on whether to limit the public spending of the aged .|||13~14~Prep~on
For example , Singapore had attracted MNCs such as Las Vegas Sands Corp. and Genting International & Star Cruises to invest in the tourism sector .|||4~5~Vt~has
People may make use of charity opportunities to obtain money from public and use for their own personal benefits .|||11~11~ArtOrDet~the	18~20~Vform~benefit
It was reported that the ex-director was supposed to loan an amount to Mandala Buddhist Cultural Centre but it ended up with his former personal aide .|||4~5~ArtOrDet~
This incident led to the distrust of public towards charity organizations .|||7~7~ArtOrDet~the
Limitations and transparency can be made to gain back the confidence level towards public spending .|||9~10~ArtOrDet~	12~13~Prep~in
They hold high post such as Chief Executive Officer ( CEO ) , Chief Operating Officer etc .|||3~4~Nn~posts
They are capable of taking care of their lives and do not need the government aids .|||15~16~Nn~aid
For this reason that the aged population are able to take care of themselves , public spending can be limited so that it can be invested to other areas for enhanced development .|||26~27~Prep~in
They will have this mindset that since government will be taking care of their lives , why would they need to work .|||7~7~ArtOrDet~the
In conclusion , with proper limitations on public spending on the aged , the excess money can be made to the development of country thus improving its economy conditions .|||23~23~ArtOrDet~the
Aged population will also be encouraged to take care of themselves instead of over-relying on public spending .|||0~1~ArtOrDet~The aged
In the modern societies , the aging population is increasing as a truth which can not be denied .|||1~2~ArtOrDet~
However , the opponents of this position argue that the elderly may has a lot of experience , and then they are very important .|||12~13~Vform~have
Although the aged has experience , that is in the past .|||7~8~Vt~was
As far as I concerned , when the living standard is developed , the incomes of the young people will go up so that they can pay more money to help their parents , who are the aged also .|||4~4~Vform~am
All in all , there are many reasons which support the idea that the spending fee on the aged should be limited .|||13~14~ArtOrDet~
Aging , a biological process which every single normal human in this world must experience every day , has become a quite serious problem for some countries in the recent decades .|||28~29~ArtOrDet~
Japan for instance , with its average age of population at 42 in the year 2009 , is having a quite serious problem with aging population .|||24~24~ArtOrDet~an
This over , however , has been taken too seriously by some countries .|||1~2~Prep~
Although this problem is quite serious , over-emphasizing and spending too much in this problem is not a good idea .|||12~13~Prep~on
These immigrants and well-educated youth , in the long run , can ease the aging problem by becoming the workforce , increasing the size and moving the wheels of the economy and decreasing the elder dependency to the government .|||36~37~Prep~on
On contrast with the earlier education sector which helps in easing the problem by eliminating the cause , an increase in spending in this sector helps by reducing the effects of the old aging population : the collapse of the economy .|||0~1~Prep~In	2~3~Prep~to
Although one can already see from the examples above that spending for the old age should be limited and the fund should be reallocated to other sectors , one might still think that we are in debt to the old age population because of their previous effort and work in the past and that we have to show our gratitude to them by allocating some fund for them , spending too much is still not wise idea .|||65~66~Nn~
On the contrary , spending in other areas might bring benefits as well as solutions for the problem .|||15~16~Prep~to
Spending in education will help in developing the country and eliminating one of the causes of the aging population problem while spending in industrial development will help in attracting immigrants and keeping the economy running .|||1~2~Prep~on	22~23~Prep~on
These examples with the fact that spending for the old age population will not bring any benefit have proven that it is better to limit and reallocate the spending for old age .|||7~8~Prep~on
Just as the aging population is a serious problem , spending for the old age population is also a problem if it is not done properly .|||11~12~Prep~on
On the other hand , spending on the old age should not be too little either as spending too little will cause the population to be upset and therefore decreases the government stability .|||29~30~Vform~decrease
Technology acts as an essential role in helping ease the aging process for the elders in mainly three ways .|||2~3~Prep~
Newest advanced technology offers new therapies , anti-aging products , and etc. For instance , the Laser ablation of Lipofuscin , a new anti-aging project , aims to tune the use of laser pulses in order to remove lipofuscin from aged cells , to hopefully cure or reduce aging .|||0~1~ArtOrDet~The newest
Other anti-aging products such as a skin-care cream can contribute in making a part of the consumer 's body stay young .|||10~11~Prep~to
Now that human can age at a slower speed with the help of technology , people no longer wake up to the horror that the reflection in the mirror looks so old that it does not correspond with the memory .|||2~3~Nn~humans
The new touchless keyboard from Actbrise even let users to input without the trouble of moving their hands .|||9~10~Prep~
( Engadget ) These new tools or functions made it possible for many elders to enjoy the excitement of experiencing advanced technology .|||8~8~Vform~have
Because elders can " catch up " with many latest inventions , they are less likely to feel abandoned by the progressing society comparing to the older generations .|||23~24~Vform~compared
( Andrews ) Similarly , the quality of artificial organs is improving at an amazing speed , while the need of organ replacement is growing at an even faster rate .|||20~21~Prep~for
" ( 1 ) During this process , an elderly will experience deteriorate in memory , slower reflexes and mobility and strong desire to have familial supports .|||26~27~Nn~support
With this device , one can set time-based reminder to remind them to perform periodic chores for instance to take their medicine .|||8~9~Nn~reminders
In the medical field , there are many ongoing researches to find medical cure to slow down or stop the process of deteriorating memory .|||7~8~ArtOrDet~a lot of	9~10~Nn~research	13~14~Nn~cures
There are various non-profitable organizations all over the world seeking cure for common illness among elderly an example will be for Parkinson Disease there is the Parkinson 's Institute and Clinical Center in America .|||10~11~Nn~cures
Lastly , the sociological change that elderly experienced is the desire to be closer to their family members .|||6~6~ArtOrDet~the
Working children can also use web camera to keep a lookout for their elderly parents at home and should any mishaps happen they can go to their aid immediately .|||6~7~Nn~cameras
Based on the aging statistic conducted by the Administration of Aging , " the older population who aged 65 years old and above in America is numbered to be 37.3 million in 2006 " and it is expected to be rising where there will be " more than twice the number by 2030 .|||4~5~Nn~statistics
" As the population aged , there will be a higher probability for elderly to suffer from certain illnesses and disorders that will affect both their physical and mental health .|||13~13~ArtOrDet~the
" This helps elderly to locate their items and ensure that they will not misplace their valuable items .|||3~3~ArtOrDet~the
These illnesses required constant and regular medication and treatment from the doctor to keep it under control .|||2~3~Vt~require
Thirdly , as we aged , the chance of getting a vision disorder such as cataract will be higher .|||4~5~Vt~age
However , the critics of this argument feel that the current technology does not help to ease the aging process , but instead , it infringes the privacy of the elderly .|||26~26~Prep~on
It is true that technological invention tend to infringe the privacy of the elderly , but it still help to ease the aging process as the monitoring of elderly through various electronic ways are done at a good cause .|||5~6~Nn~inventions	9~9~Prep~on	16~17~ArtOrDet~they
[ 1 ] As elderly aged , they are bound to suffer from illnesses such as visual and mobility impairment and stroke .|||4~4~ArtOrDet~the	5~6~Vt~age
Elderly can wear this comfortable Hip Protector for the whole day in comfort .|||0~1~ArtOrDet~The elderly
[ 6 ] Lastly with this device , it provides confidence and independent living for the elderly .|||4~5~Prep~
Elderly would use the joystick to select their desired food on the food tray .|||0~1~ArtOrDet~The elderly
With these elderly care devices and gadgets , elderly can lead a safe and independent life with minimal help from care givers .|||8~8~ArtOrDet~the
Based on a recent survey conducted on the impact of technology on the elderly , majority of the elderly surveyed believe that advancement in technology " will produce better quality of life for themselves " ( 1 ) .|||15~15~ArtOrDet~the
With such technologies at hand , elderly will be confident to live alone knowing that their safety is well taken care of .|||6~6~ArtOrDet~the
However , military is deemed so essential that it is the " prerequisite " to all areas of development in the country .|||2~2~ArtOrDet~the
In the contemporary society , the elder are well taken care of in many countries .|||1~2~ArtOrDet~
As a result , they can support themselves more effectively not only when they are young , but also during their old ages .|||22~24~Nn~age
By doing this , more and more useful and efficient tools and machines can be invented which will improve the productivity of every economic activities .|||24~25~Nn~activity
This economic growth is important because it allows the country to have the power to improve its citizen 's quality of life .|||17~19~Nn~citizens '
Through education , working adults are able to deal with highly complicated equipments that enable them to bring revenue back to the country .|||12~13~Nn~equipment
Elderly who wished to continue working are able to do so by attend upgrading courses to facilitate them in finding jobs .|||2~3~Vt~wish
Government should spend much effort to take care of them by providing financial support .|||6~7~Vform~taking
When a country can not even handle its own problem , there is no way it could be given chance to hold world class events such as Olympics which boosts its international reputation and many other areas .|||9~11~Nn~problems	19~19~ArtOrDet~the
Perhaps on the short term pumping financial resources to areas such as technology and economy may produce expected results .|||1~2~Prep~in
On the long term , the country will suffer from irreversible losses as progress is made by its people and remaining talents are insufficient to substantiate the growth .|||0~1~Prep~In
Under this scheme , every workers needs to contribute 6.5 - 9 % ( depending on age group ) of his monthly salary to his personal MediSave account .|||5~6~Nn~worker
To counter this issue , Singapore has come out MediShield .|||9~9~Prep~with
Therefore , with these medical schemes , the elderly people healthcare can be secured .|||7~8~ArtOrDet~
However , some children might think that living with their parents is very nuisance because they need a lot of care and attention .|||13~13~ArtOrDet~a
To deal with such challenge , Singapore 's government has implemented many schemes to help the people work longer .|||15~16~ArtOrDet~
In addition , they could lessen the burden of their children .|||8~9~Prep~on
On top of that , there are elderly who have no children , so if their financial conditions are unstable , they should able to given the necessary funds to make ends meet .|||25~25~Vform~be
Reduced spending on education can mean lesser educators and lowered standards of teaching , reduced spending on research can mean lesser incentives for researchers and for their research works and reduced spending on investments may mean lesser cooperation with international bodies .|||28~29~Nn~work
Thus , a country 's budget can not be adjusted without much consideration and thought or else it can cause instabilities to the supporting pillars of a country .|||26~27~ArtOrDet~the
For example the CPF scheme in Singapore states that the account holder must have a certain amount of money , which was saved up automatically since the start of his working years , before he can withdraw the entire amount during the maturity age .|||40~41~Prep~at
In view of the fact of dramatic increase in national budget spent on the aged , some people suppose that government should limit its expenditure on the aged so that money can be diverted to other areas of the country 's development .|||20~20~ArtOrDet~the
One of the primary reasons why government should not set limits on public spending on older people is the aim to create a higher quality of live for almost everyone .|||6~6~ArtOrDet~the
And obviously , those of old age should also be provided services such as healthcare , insurance , housing...Thus , there is no reason for government to eliminate its expenditure on this area while many people 's lives can be improved thanks to the support .|||25~25~ArtOrDet~the
Improved healthcare services , subsidies... not only aid the aged in poor financial situations or make their health better but also are the ways people express their respects to the older , which has positive impact on enhancing younger people 's treatment .|||27~28~Nn~respect
Last but not least , most elderly people after all have contributed to the development of country during their young ages through productive services as well as taxes .|||16~16~ArtOrDet~the	20~21~Nn~age
Government should not consider the rising expenditure related to programs to support a growing elderly population without mentioning their contribution in the past .|||0~1~ArtOrDet~The government
When taking account of all the above factors , I can safely conclude that public spending on the aged should not limited even though the amount of money can be used to invest on some areas like education , infrastructure , development projects .|||3~4~Prep~	21~21~Vform~be
Through current research and development , some of those problems had been eased significantly , providing a better aging experience .|||10~11~Vt~have
In this essay , we will discuss how current research and development helped to ease some of the issues raised by immobility , health conditions and resource management that the aged faces .|||12~12~Vt~has
While individual efforts can be done to prevent falls , many of the aged are not aware of such prevention measures or they are unable to seek help if they fell despite of such efforts .An article published by the American Academy of Family Physicians in April 2000 reported that falls caused 70 percent of accidental deaths in people aged 75 years and above .|||30~31~Vt~fall
Alerts can then be sent to family members who are not at home if the user is not within a designated area or had experience a falling motion .|||23~24~Vt~have	24~25~Vform~experienced
Arrhythmia , which is the alterations in the heartbeat , has an increase chance to surface in an aged patient who survived a heart attack .|||12~13~Vform~increased
A growing number of families had faced a common problem in elderly care and that is resource management .|||5~6~Vt~have
Resource management may comprise of physical monitoring and medical records management .|||4~5~Prep~
A news article by Telegram & Gazette ( Worcester , MA ) in 2007 had featured a lady who had not been properly taken care of , after the engagement of nursing services .|||14~15~Vt~
Research and development in Information Technology had allowed resource management to be simplified .|||6~7~Vt~
